"","x"
"[PRU].alpha1",0.113344297344846
"[PRU].beta1",2.74451584627423e-08
"[REGN].mu",0.00637137234787901
"[REGN].ar1",0.999188542017473
"[REGN].omega",7.79608978704793e-05
"[REGN].alpha1",0.0430488189353166
"[REGN].beta1",0.660145087525579
"[STT].mu",-0.00739922982397522
"[STT].ar1",1.00000000900296
"[STT].omega",5.56430628010434e-05
"[STT].alpha1",0.473856123009254
"[STT].beta1",0.143698181114184
"[THC].mu",0.0110749610195113
"[THC].ar1",0.999935748323508
"[THC].omega",0.000228580611000718
"[THC].alpha1",0.112449095206761
"[THC].beta1",0.657655762503365
"[TSLA].mu",0.00734326348741546
"[TSLA].ar1",0.994462530469631
"[TSLA].omega",3.25587653847447e-06
"[TSLA].alpha1",0.0162887040601566
"[TSLA].beta1",0.978805616944458
"[WBA].mu",8.64551158615732e-05
"[WBA].ar1",0.999577615376594
"[WBA].omega",9.25259521231674e-05
"[WBA].alpha1",0.108837167532518
"[WBA].beta1",0.28500541778362
"[WM].mu",-0.00612476543147301
"[WM].ar1",1.00000000984847
"[WM].omega",3.89591295058734e-05
"[WM].alpha1",0.279857060991813
"[WM].beta1",0.0202651843370261
"[XEL].mu",0.0127260910843386
"[XEL].ar1",1.00000000997701
"[XEL].omega",4.52429103755229e-07
"[XEL].alpha1",0.0663985781931895
"[XEL].beta1",0.906184851685209
"[ABC].mu",0.00444738878191586
"[ABC].ar1",0.993860327683673
"[ABC].omega",5.39292006907326e-05
"[ABC].alpha1",0.113491565211152
"[ABC].beta1",0.60428791631574
"[ADS].mu",-0.00442117850976447
"[ADS].ar1",1.00000000928711
"[ADS].omega",7.48079335099388e-05
"[ADS].alpha1",0.013502300078589
"[ADS].beta1",0.662462088817406
"[BLK].mu",0.000190695094503025
"[BLK].ar1",0.996086404086139
"[BLK].omega",9.60189675380743e-06
"[BLK].alpha1",0.0860725467867366
"[BLK].beta1",0.747176931468755
"[CLX].mu",0.00555972977721211
"[CLX].ar1",0.999387265376145
"[CLX].omega",1.02073703815763e-05
"[CLX].alpha1",0.181160056464326
"[CLX].beta1",0.69344590786921
"[CNP].mu",0.002056664734038
"[CNP].ar1",0.99875014389653
"[CNP].omega",5.33653763237917e-07
"[CNP].alpha1",0.0218894919050891
"[CNP].beta1",0.968574981295744
"[CVS].mu",0.00756400737091872
"[CVS].ar1",0.998358556043354
"[CVS].omega",1.20499531577821e-06
"[CVS].alpha1",0.0300899490689126
"[CVS].beta1",0.964229378794944
"[CVX].mu",-0.00626155694944276
"[CVX].ar1",1.0000000099009
"[CVX].omega",2.65128376451377e-05
"[CVX].alpha1",0.102189676376664
"[CVX].beta1",0.368930881021641
"[DHI].mu",0.00760697147276315
"[DHI].ar1",1.00000000236754
"[DHI].omega",2.20565968969311e-05
"[DHI].alpha1",0.118965041145214
"[DHI].beta1",0.78119173400358
"[DISCA].mu",-0.00139665749105594
"[DISCA].ar1",0.999999923596844
"[DISCA].omega",0.000136829972738865
"[DISCA].alpha1",0.106280981748304
"[DISCA].beta1",0.456712432895879
"[DISH].mu",0.00189853475443774
"[DISH].ar1",0.999999543479628
"[DISH].omega",5.39735127714404e-05
"[DISH].alpha1",0.252088723814322
"[DISH].beta1",0.614589648771371
"[GE].mu",0.0074405707492103
"[GE].ar1",0.999790306800858
"[GE].omega",3.03026063555018e-06
"[GE].alpha1",0.143782218635134
"[GE].beta1",0.855217754483285
"[GILD].mu",0.0104646667971843
"[GILD].ar1",1.00000000649852
"[GILD].omega",8.39216892907211e-05
"[GILD].alpha1",0.374609313731338
"[GILD].beta1",0.178594892937709
"[GME].mu",-0.00156600232187978
"[GME].ar1",1.00000000871694
"[GME].omega",0.000487191940207657
"[GME].alpha1",0.715165322335339
"[GME].beta1",0.00169619294981937
"[HSIC].mu",0.00439077371044734
"[HSIC].ar1",0.998484885271495
"[HSIC].omega",1.24920007223038e-06
"[HSIC].alpha1",0.0188275053116475
"[HSIC].beta1",0.97266874312498
"[IP].mu",0.00919298315578664
"[IP].ar1",0.994348465256492
"[IP].omega",1.20505980650095e-05
"[IP].alpha1",0.04057956389079
"[IP].beta1",0.863779592112562
"[JNPR].mu",-0.0137299024619245
"[JNPR].ar1",0.989063701750918
"[JNPR].omega",0.000134730460665662
"[JNPR].alpha1",0.658589733756594
"[JNPR].beta1",9.35959559599102e-10
"[KMB].mu",0.0065941827082286
"[KMB].ar1",1.00000000383808
"[KMB].omega",4.68776739303738e-05
"[KMB].alpha1",0.211665329439704
"[KMB].beta1",0.112541975055347
"[LM].mu",-0.00362709634394148
"[LM].ar1",0.999845889333368
"[LM].omega",5.43166108540815e-05
"[LM].alpha1",0.15550157875769
"[LM].beta1",0.451137750796104
"[MCK].mu",0.00031111869868739
"[MCK].ar1",0.999615943245665
"[MCK].omega",7.43607174012864e-05
"[MCK].alpha1",0.0206804310284792
"[MCK].beta1",0.613322039198005
"[MKC].mu",-0.0076361652885645
"[MKC].ar1",1.00000001
"[MKC].omega",4.94346525582168e-05
"[MKC].alpha1",0.192710937003321
"[MKC].beta1",0.254351296345845
"[PBI].mu",0.0235172553421121
"[PBI].ar1",1.00000000932917
"[PBI].omega",0.000296420315900629
"[PBI].alpha1",0.249342060532762
"[PBI].beta1",0.240029063274246
"[PDCO].mu",0.00091278061089734
"[PDCO].ar1",1.00000000990363
"[PDCO].omega",0.000151776938944659
"[PDCO].alpha1",0.293394067036877
"[PDCO].beta1",0.201892720887887
"[PM].mu",-0.00201349201532101
"[PM].ar1",0.998644787209894
"[PM].omega",1.98499673164963e-07
"[PM].alpha1",0.00910826382205178
"[PM].beta1",0.989874712806057
"[PNR].mu",0.000263211539452922
"[PNR].ar1",0.995108722638107
"[PNR].omega",3.33260248691918e-05
"[PNR].alpha1",0.0588168045154255
"[PNR].beta1",0.635806671654059
"[PSA].mu",-0.002699083556683
"[PSA].ar1",0.999616100220376
"[PSA].omega",9.56923364879388e-07
"[PSA].alpha1",0.0159997479940271
"[PSA].beta1",0.974762118832857
"[SJM].mu",-0.00858332787740296
"[SJM].ar1",0.99883435340388
"[SJM].omega",1.02771157012124e-05
"[SJM].alpha1",8.89513057318251e-06
"[SJM].beta1",0.917493063252365
"[STX].mu",0.00615479739980008
"[STX].ar1",0.992986361866893
"[STX].omega",2.60511440669895e-06
"[STX].alpha1",0.0104227529174248
"[STX].beta1",0.984672955908028
"[SWK].mu",-0.00709756411686872
"[SWK].ar1",0.999211431967966
"[SWK].omega",1.76082355183004e-07
"[SWK].alpha1",0.00722258625836538
"[SWK].beta1",0.991729933877079
"[SYY].mu",-0.00647604297178416
"[SYY].ar1",1.00000000967193
"[SYY].omega",8.08611975370079e-05
"[SYY].alpha1",0.218538569361303
"[SYY].beta1",0.0217020006028453
"[TRIP].mu",-0.00462544853805678
"[TRIP].ar1",0.999999993026202
"[TRIP].omega",8.97596434623734e-05
"[TRIP].alpha1",5.60542848858484e-09
"[TRIP].beta1",0.850417268129087
"[TRV].mu",0.00154285456037275
"[TRV].ar1",0.997961162549968
"[TRV].omega",2.66343455198346e-05
"[TRV].alpha1",0.153963858665184
"[TRV].beta1",0.350062431711318
"[URI].mu",-0.03082814669853
"[URI].ar1",0.996624855279642
"[URI].omega",0.000296750237700277
"[URI].alpha1",0.0349413531197462
"[URI].beta1",0.0238890665498337
"[VFC].mu",0.00464466006900217
"[VFC].ar1",0.997641412389341
"[VFC].omega",3.39864603642633e-05
"[VFC].alpha1",0.0058551050719477
"[VFC].beta1",0.762309796500176
"[VZ].mu",-0.00281587041056344
"[VZ].ar1",0.999759947479449
"[VZ].omega",2.24507024500957e-05
"[VZ].alpha1",0.131615453895211
"[VZ].beta1",0.602929080264792
"[WDC].mu",0.00665022141081553
"[WDC].ar1",0.999998618318619
"[WDC].omega",5.34327467313553e-06
"[WDC].alpha1",0.0166740181442236
"[WDC].beta1",0.971436650042108
"[Joint]dcca1",0.00156483368888012
"[Joint]dccb1",0.525067414103577
